1,Mui Wo General Out-patient Clinic,22.26604,113.997882,17,0
2,North Lamma General Out-patient Clinic,22.224295,114.111098,20,0
3,Peng Chau General Out-patient Clinic,22.283621,114.039154,8,0
4,Sok Kwu Wan General Out-patient Clinic,22.205606,114.131597,22.205606,0
5,Tai O Jockey Club General Out-patient Clinic,22.255725,113.857972,2,0
6,Aberdeen Jockey Club General Out-patient Clinic,22.24974,114.156384,44,0
7,Ap Lei Chau General Out-patient Clinic,22.243243,114.153765,56,0
8,Queen Mary Hospital Drone Port,22.270257,114.131376,161,1
